POP, CRIME
10214,56
10228,110
10256,187
10260,44
10470,34
10600,102
10626,15
10650,6
10890,174
11186,60
11256,128
11589,174
11631,37
11792,71
11870,138
11916,65
11972,39
12082,120
12173,110
12174,103
12241,18
12334,42
12376,54
12708,88
13014,76
13188,23
13189,128
13206,56
13247,14
13372,14
13400,56
13434,137
13489,206
13770,35
13807,27
14778,81
14948,79
15264,87
15727,170
16183,201
16607,85
16824,68
16897,123
16975,136
17058,131
17157,56
17166,48
17725,96
17778,34
18055,43
18458,77
18490,53
18643,152
19136,319
19255,213
19339,82
19900,198
19947,100
20319,364
20498,235
20610,66
21064,48
21173,96
21652,91
22194,76
22276,136
22662,34
22814,67
22834,43
22970,130
23083,155
23302,402
23641,95
24002,127
24348,424
24626,119
24684,194
25076,154
26198,80
26651,408
27446,269
28301,53
29202,188
30892,443
33360,599
33899,155
34855,267
35750,75
36000,89
41015,173
41472,180
43612,246
44363,321
45008,819
46735,380
47367,158
47720,249
48600,513
55199,313
55256,353
60686,617
61701,251
63144,681
75166,320
78900,978
105897,705
111869,958
121985,1145
123425,622
135671,1421
136046,1160
144304,656
204691,1720
224072,2312
297156,2249
356078,1836
359524,2933
484177,4633
1457765,14286
