id;geometry
230440005070533;POLYGON ((-38.56999104 -3.72673602, -38.569833 -3.72618, -38.569725 -3.72582396, -38.56964688 -3.72562002, -38.56961196 -3.72552003, -38.56954212 -3.72529296, -38.5695381890888 -3.72529449393973, -38.56907808 -3.72547404, -38.56861512 -3.72557601, -38.568492 -3.72560697, -38.568726 -3.72632697, -38.56891284 -3.726891, -38.56903596 -3.72686904, -38.56936716 -3.72689496, -38.56952088 -3.72688497, -38.56974588 -3.726819, -38.56999104 -3.72673602))
230440005070534;POLYGON ((-38.5695381890888 -3.72529449393973, -38.56954212 -3.72529296, -38.57069304 -3.724884, -38.57090616 -3.72485304, -38.57063112 -3.72439701, -38.5706284954866 -3.72439334122602, -38.57034996 -3.72400398, -38.57011308 -3.72359403, -38.56972788 -3.72292596, -38.56928688 -3.72208203, -38.56912488 -3.72179997, -38.56895892 -3.72189303, -38.56855212 -3.72214296, -38.56767912 -3.72271698, -38.56756896 -3.722769, -38.56774716 -3.72327597, -38.56787208 -3.72366801, -38.5679233671362 -3.72382401695491, -38.5689185554448 -3.72323353855848, -38.5695381890888 -3.72529449393973))
230440005070535;POLYGON ((-38.56922604 -3.72790197, -38.56891284 -3.726891, -38.568726 -3.72632697, -38.568492 -3.72560697, -38.568141 -3.72448602, -38.5679233671362 -3.72382401695491, -38.56787208 -3.72366801, -38.56774716 -3.72327597, -38.56756896 -3.722769, -38.56767912 -3.72271698, -38.56855212 -3.72214296, -38.56895892 -3.72189303, -38.56912488 -3.72179997, -38.56896504 -3.72166596, -38.56884192 -3.72156201, -38.56867812 -3.72145401, -38.56849992 -3.72133701, -38.56841784 -3.72129003, -38.56813812 -3.72116403, -38.56772304 -3.72103497, -38.56713696 -3.72089799, -38.56701384 -3.72093003, -38.56705704 -3.72121101, -38.56692096 -3.72148101, -38.56675104 -3.72201399, -38.56638708 -3.72304503, -38.56602204 -3.724128, -38.56562496 -3.72518496, -38.56528296 -3.726108, -38.56523184 -3.72628503, -38.56519296 -3.72643002, -38.56517388 -3.72656097, -38.56508784 -3.72717801, -38.56493916 -3.72857202, -38.56487616 -3.72907296, -38.56474908 -3.72992904, -38.56469508 -3.73101399, -38.56539312 -3.73116798, -38.56545684 -3.73008204, -38.56555008 -3.72928896, -38.56562316 -3.72876498, -38.56580316 -3.72730203, -38.56922604 -3.72790197))
230440005070536;POLYGON ((-38.566266282869 -3.73381643158606, -38.5662312148085 -3.73236695175247, -38.56729770650249 -3.73238964306511, -38.56729788 -3.732381, -38.56895784 -3.73237299, -38.56898016 -3.73205898, -38.5689828363748 -3.73202053018425, -38.56902192 -3.73145904, -38.56916916 -3.73024998, -38.56918392 -3.72969999, -38.56920588 -3.72917799, -38.56924584 -3.72877002, -38.56928796 -3.72834504, -38.56922604 -3.72790197, -38.56580316 -3.72730203, -38.56562316 -3.72876498, -38.56555008 -3.72928896, -38.56545684 -3.73008204, -38.56539312 -3.73116798, -38.56469508 -3.73101399, -38.5646137548368 -3.73182107273645, -38.56461084 -3.73185, -38.56453884 -3.733236, -38.56450284 -3.73347198, -38.56552704 -3.73367097, -38.566266282869 -3.73381643158606))
230440005070537;POLYGON ((-38.567287151072 -3.73291547942762, -38.5677937440853 -3.73291937629695, -38.5684103416396 -3.732923459724459, -38.56893585042049 -3.732931303139099, -38.56893588 -3.73293, -38.56895784 -3.73237299, -38.56729788 -3.732381, -38.56729770650249 -3.73238964306511, -38.567287151072 -3.73291547942762))
230440005070538;POLYGON ((-38.56746663291619 -3.736365032617489, -38.5674153885 -3.73547466088662, -38.5673758032881 -3.73476212707249, -38.5673405416078 -3.734309602174679, -38.56733784 -3.73430898, -38.56731012 -3.73412997, -38.56730904 -3.73396302, -38.56730796 -3.733803, -38.56680612 -3.73386096, -38.56664988 -3.73386996, -38.56644684 -3.73385196, -38.566266282869 -3.73381643158606, -38.56552704 -3.73367097, -38.56450284 -3.73347198, -38.56443588 -3.73428999, -38.56443192 -3.73433103, -38.56440204 -3.73455801, -38.56436388 -3.73485402, -38.56422492 -3.73549896, -38.56406904 -3.73564197, -38.56514796 -3.73588299, -38.56548096 -3.73595103, -38.56623084 -3.73610403, -38.56657284 -3.73617396, -38.56713588 -3.73629303, -38.567295 -3.73632903, -38.56746663291619 -3.736365032617489))
230440005070539;POLYGON ((-38.5726462781299 -3.73248163575856, -38.57278284 -3.73141098, -38.57181516 -3.73127697, -38.57081004811379 -3.731138011121749, -38.5706685793179 -3.73223285658549, -38.5706656338843 -3.73225565168081, -38.5716772195984 -3.732374661764829, -38.5726462781299 -3.73248163575856))
230440005070540;POLYGON ((-38.5729644336215 -3.73714930989491, -38.57346504 -3.73720401, -38.57348592 -3.73707198, -38.57627484 -3.737421, -38.57655888 -3.737457, -38.57658696 -3.73734099, -38.57662692 -3.73718403, -38.57622084 -3.73628097, -38.57610708 -3.73604904, -38.57585508 -3.73563099, -38.57567292 -3.735279, -38.57556888 -3.73507002, -38.57533812 -3.734613, -38.57532408 -3.73457403, -38.57555304 -3.73392801, -38.57579208 -3.73327398, -38.57607 -3.73261797, -38.57510484 -3.73222899, -38.57480892 -3.73306401, -38.57474088 -3.73318596, -38.57471316 -3.73327398, -38.57470092 -3.73332699, -38.57471316 -3.73340403, -38.57491404 -3.73386402, -38.57430204 -3.73380399, -38.574162 -3.73490703, -38.57329512 -3.73478697, -38.5729644336215 -3.73714930989491))
230440005070541;POLYGON ((-38.57510484 -3.73222899, -38.57429988 -3.73193397, -38.57437296 -3.73209003, -38.57442084 -3.73221297, -38.57445504 -3.73234896, -38.57446188 -3.73252599, -38.57443488 -3.73269798, -38.57430204 -3.73380399, -38.57491404 -3.73386402, -38.57471316 -3.73340403, -38.57470092 -3.73332699, -38.57471316 -3.73327398, -38.57474088 -3.73318596, -38.57480892 -3.73306401, -38.57510484 -3.73222899))
230440005070542;POLYGON ((-38.57685192 -3.730563, -38.57656716 -3.730455, -38.57622084 -3.730311, -38.57559984 -3.73006197, -38.57495004 -3.72982104, -38.5745506573117 -3.73086383284734, -38.57517100546089 -3.73111584928295, -38.5754794444238 -3.73122708956466, -38.5758081088925 -3.73132316071705, -38.5764642160642 -3.73158560358575, -38.57646492 -3.73158396, -38.57685192 -3.730563))
